Epoch,Loss,Acc
0,0.0221,0.9926
1,0.0234,0.9925
2,0.0235,0.9920
3,0.0224,0.9924
4,0.0212,0.9928
5,0.0234,0.9927
6,0.0203,0.9935
7,0.0211,0.9928
8,0.0233,0.9923
9,0.0226,0.9922
10,0.0187,0.9934
11,0.0189,0.9937
12,0.0205,0.9931
13,0.0187,0.9937
14,0.0187,0.9937
15,0.0203,0.9929
16,0.0198,0.9933
17,0.0195,0.9935
18,0.0174,0.9942
19,0.0198,0.9932
20,0.0150,0.9950
21,0.0182,0.9940
22,0.0155,0.9947
23,0.0175,0.9941
24,0.0164,0.9946
25,0.0182,0.9939
26,0.0160,0.9948
27,0.0180,0.9940
28,0.0163,0.9944
29,0.0148,0.9952
30,0.0167,0.9944
31,0.0158,0.9951
32,0.0166,0.9944
33,0.0168,0.9944
34,0.0154,0.9946
35,0.0161,0.9947
36,0.0162,0.9945
37,0.0148,0.9948
38,0.0172,0.9942
39,0.0161,0.9947
40,0.0160,0.9946
41,0.0141,0.9951
42,0.0145,0.9949
43,0.0155,0.9950
44,0.0154,0.9945
45,0.0168,0.9941
46,0.0143,0.9951
47,0.0135,0.9956
48,0.0141,0.9953
49,0.0142,0.9951
